Distance(m),x(NI),x(CR),f(FCC_A1),f(BCC_A2)
0.0,0.799999999999733,0.200000000000267,1.0,0.0
1.0020040080160322e-08,0.7999999999990843,0.2000000000009157,1.0,0.0
2.0040080160320644e-08,0.799999999996258,0.20000000000374193,1.0,0.0
3.006012024048097e-08,0.7999999999847112,0.2000000000152888,1.0,0.0
4.008016032064129e-08,0.7999999999381889,0.2000000000618111,1.0,0.0
5.010020040080161e-08,0.7999999997524462,0.20000000024755385,1.0,0.0
6.012024048096194e-08,0.7999999990154877,0.2000000009845123,1.0,0.0
7.014028056112226e-08,0.7999999961034459,0.20000000389655412,1.0,0.0
8.016032064128258e-08,0.7999999846350243,0.20000001536497572,1.0,0.0
9.01803607214429e-08,0.7999999396455032,0.20000006035449683,1.0,0.0
1.0020040080160321e-07,0.7999997638174532,0.20000023618254678,1.0,0.0
1.1022044088176355e-07,0.7999990756624222,0.2000009243375777,1.0,0.0
1.2024048096192388e-07,0.7999963404958547,0.2000036595041453,1.0,0.0
1.3026052104208418e-07,0.7999851259101205,0.20001487408987947,1.0,0.0
1.4028056112224452e-07,0.7999381935538762,0.20006180644612379,1.0,0.0
1.5030060120240482e-07,0.7997524070471185,0.20024759295288153,1.0,0.0
1.6032064128256515e-07,0.7992229977670796,0.20077700223292042,1.0,0.0
1.7034068136272549e-07,0.79926968109584,0.20073031890416004,1.0,0.0
1.803607214428858e-07,0.7992403803848879,0.20075961961511213,1.0,0.0
1.9038076152304612e-07,0.7992182300980971,0.20078176990190286,1.0,0.0
2.0040080160320643e-07,0.7991609319865102,0.20083906801348986,1.0,0.0
2.1042084168336676e-07,0.7992227345859984,0.20077726541400165,1.0,0.0
2.204408817635271e-07,0.7991534900772861,0.20084650992271388,1.0,0.0
2.304609218436874e-07,0.7992107571500137,0.2007892428499863,1.0,0.0
2.4048096192384776e-07,0.7991244261910193,0.20087557380898072,1.0,0.0
2.5050100200400806e-07,0.7991770888742011,0.2008229111257989,1.0,0.0
2.6052104208416837e-07,0.7990771608292894,0.20092283917071066,1.0,0.0
2.7054108216432867e-07,0.7991330534431746,0.20086694655682538,1.0,0.0
2.8056112224448903e-07,0.798827030523329,0.201172969476671,1.0,0.0
2.9058116232464934e-07,0.7994234306426115,0.20057656935738855,1.0,0.0
3.0060120240480964e-07,0.7988920584771623,0.20110794152283776,1.0,0.0
3.1062124248497e-07,0.7993821788024446,0.20061782119755547,1.0,0.0
3.206412825651303e-07,0.7988508977514306,0.20114910224856947,1.0,0.0
3.306613226452906e-07,0.7991329155029299,0.20086708449707008,1.0,0.0
3.4068136272545097e-07,0.7986250884662968,0.2013749115337032,1.0,0.0
3.507014028056113e-07,0.7989314638295748,0.20106853617042525,1.0,0.0
3.607214428857716e-07,0.798891322899659,0.20110867710034094,1.0,0.0
3.7074148296593194e-07,0.7988570142104086,0.20114298578959147,1.0,0.0
3.8076152304609225e-07,0.7988910639609758,0.20110893603902427,1.0,0.0
3.9078156312625255e-07,0.7988563600474647,0.2011436399525352,1.0,0.0
4.0080160320641286e-07,0.7989225705908498,0.2010774294091502,1.0,0.0
4.108216432865732e-07,0.7988180648644367,0.20118193513556332,1.0,0.0
4.208416833667335e-07,0.7988337626155808,0.20116623738441916,1.0,0.0
4.3086172344689383e-07,0.7987390458521766,0.20126095414782336,1.0,0.0
4.408817635270542e-07,0.7983703292172196,0.2016296707827804,1.0,0.0
4.509018036072145e-07,0.7982541221296254,0.2017458778703746,1.0,0.0
4.609218436873748e-07,0.7981808656029017,0.20181913439709837,1.0,0.0
4.7094188376753515e-07,0.7981266851466924,0.20187331485330756,1.0,0.0
4.809619238476955e-07,0.7981623021899698,0.2018376978100303,1.0,0.0
4.909819639278558e-07,0.798092564251457,0.201907435748543,1.0,0.0
5.010020040080161e-07,0.7981476045956506,0.20185239540434935,1.0,0.0
5.110220440881764e-07,0.7977896863448959,0.20221031365510406,1.0,0.0
5.210420841683367e-07,0.7981678784143619,0.20183212158563815,0.9999999999999999,0.0
5.31062124248497e-07,0.7978674482181178,0.2021325517818821,0.9999999999999999,0.0
5.410821643286573e-07,0.7978743968803265,0.2021256031196735,0.9999999999999999,0.0
5.511022044088178e-07,0.7978807164770412,0.2021192835229588,0.9999999999999999,0.0
5.611222444889781e-07,0.7978561025953081,0.20214389740469185,0.9999999999999999,0.0
5.711422845691384e-07,0.797778105049001,0.202221894950999,0.9999999999999999,0.0
5.811623246492987e-07,0.7974471259608205,0.20255287403917954,0.9999999999999999,0.0
5.91182364729459e-07,0.7975706388516497,0.2024293611483503,0.9999999999999999,0.0
6.012024048096193e-07,0.7975749496306421,0.2024250503693579,0.9999999999999999,0.0
6.112224448897797e-07,0.7973126756519598,0.20268732434804018,1.0,0.0
6.2124248496994e-07,0.7983765490730277,0.20162345092697226,1.0,0.0
6.312625250501003e-07,0.7966325002130882,0.2033674997869118,1.0,0.0
6.412825651302606e-07,0.7978882453214128,0.2021117546785872,1.0,0.0
6.513026052104209e-07,0.7963413567404297,0.20365864325957028,1.0,0.0
6.613226452905812e-07,0.7980625137692453,0.20193748623075466,1.0,0.0
6.713426853707415e-07,0.7964923100296966,0.20350768997030344,1.0,0.0
6.813627254509019e-07,0.7975793916913116,0.20242060830868833,1.0,0.0
6.913827655310622e-07,0.795889236502837,0.20411076349716292,0.9999999999999999,0.0
7.014028056112226e-07,0.7974145627149842,0.20258543728501574,1.0,0.0
7.114228456913829e-07,0.7966979475428264,0.2033020524571736,1.0,0.0
7.214428857715432e-07,0.7967438184539726,0.20325618154602743,1.0,0.0
7.314629258517035e-07,0.796717439857513,0.20328256014248705,1.0,0.0
7.414829659318639e-07,0.7967428774441836,0.20325712255581635,1.0,0.0
7.515030060120242e-07,0.7967182812203497,0.20328171877965023,1.0,0.0
7.615230460921845e-07,0.7966981362809598,0.2033018637190403,1.0,0.0
7.715430861723448e-07,0.7965456244804696,0.20345437551953033,1.0,0.0
7.815631262525051e-07,0.7960907943052715,0.20390920569472853,1.0,0.0
7.915831663326654e-07,0.7960393734974226,0.20396062650257743,1.0,0.0
8.016032064128257e-07,0.7957337749396682,0.20426622506033176,1.0,0.0
8.116232464929861e-07,0.795314178142702,0.20468582185729806,1.0,0.0
8.216432865731464e-07,0.7953852280306547,0.20461477196934533,1.0,0.0
8.316633266533067e-07,0.7953726013905105,0.20462739860948947,1.0,0.0
8.41683366733467e-07,0.7953306635897992,0.2046693364102008,1.0,0.0
8.517034068136273e-07,0.7951779654554596,0.20482203454454037,1.0,0.0
8.617234468937877e-07,0.7947514216204015,0.20524857837959856,1.0000000000000002,0.0
8.717434869739481e-07,0.7948172857141977,0.20518271428580223,1.0000000000000002,0.0
8.817635270541084e-07,0.7948487306197318,0.2051512693802682,1.0000000000000002,0.0
8.917835671342687e-07,0.79457277755664,0.20542722244335995,1.0000000000000002,0.0
9.01803607214429e-07,0.7947005026645395,0.20529949733546043,1.0000000000000002,0.0
9.118236472945893e-07,0.7941466008888335,0.20585339911116649,1.0000000000000002,0.0
9.218436873747496e-07,0.7940330682642295,0.2059669317357705,1.0000000000000002,0.0
9.3186372745491e-07,0.7933108082431216,0.20668919175687836,1.0000000000000002,0.0
9.418837675350703e-07,0.7933630019845921,0.2066369980154079,1.0000000000000002,0.0
9.519038076152306e-07,0.7933179150033546,0.20668208499664542,1.0000000000000002,0.0
9.61923847695391e-07,0.7935242967239938,0.20647570327600617,1.0,0.0
9.719438877755512e-07,0.7923672813634735,0.2076327186365266,1.0000000000000002,0.0
9.819639278557116e-07,0.792649856623304,0.20735014337669605,1.0,0.0
9.919839679358718e-07,0.7926022994299421,0.20739770057005794,1.0,0.0
1.0020040080160322e-06,0.7927708465735486,0.20722915342645137,1.0,0.0
1.0120240480961924e-06,0.7920513018233557,0.20794869817664427,1.0,0.0
1.0220440881763529e-06,0.790951536252934,0.20904846374706598,1.0,0.0
1.0320641282565133e-06,0.791722490036239,0.20827750996376107,1.0,0.0
