Distance(m),x(NI),x(CR),f(FCC_A1),f(BCC_A2)
0.0,0.7999999999968609,0.2000000000031391,1.0,0.0
1.0020040080160322e-08,0.7999999999891866,0.20000000001081342,1.0,0.0
2.0040080160320644e-08,0.7999999999547642,0.2000000000452358,1.0,0.0
3.006012024048097e-08,0.7999999998075825,0.20000000019241745,1.0,0.0
4.008016032064129e-08,0.7999999991812112,0.2000000008187888,1.0,0.0
5.010020040080161e-08,0.7999999965442922,0.20000000345570781,1.0,0.0
6.012024048096194e-08,0.7999999856751012,0.2000000143248988,1.0,0.0
7.014028056112226e-08,0.7999999422772781,0.20000005772272192,1.0,0.0
8.016032064128258e-08,0.7999997761966419,0.20000022380335813,1.0,0.0
9.01803607214429e-08,0.7999991732277025,0.20000082677229744,1.0,0.0
1.0020040080160321e-07,0.7999971139004357,0.2000028860995643,1.0,0.0
1.1022044088176355e-07,0.7999904824866114,0.20000951751338855,1.0,0.0
1.2024048096192388e-07,0.7999691140664413,0.2000308859335587,1.0,0.0
1.3026052104208418e-07,0.7998797859315949,0.2001202140684051,1.0,0.0
1.4028056112224452e-07,0.7993877151782277,0.2006122848217723,1.0,0.0
1.5030060120240482e-07,0.7993871447761203,0.20061285522387978,1.0,0.0
1.6032064128256515e-07,0.7992236329465372,0.20077636705346275,1.0,0.0
1.7034068136272549e-07,0.7992346968667761,0.20076530313322388,1.0,0.0
1.803607214428858e-07,0.7991470916261767,0.20085290837382333,1.0,0.0
1.9038076152304612e-07,0.7991931122231675,0.20080688777683256,1.0,0.0
2.0040080160320643e-07,0.7991200897156521,0.20087991028434787,1.0,0.0
2.1042084168336676e-07,0.7991948882349765,0.20080511176502344,1.0,0.0
2.204408817635271e-07,0.7991371712157029,0.20086282878429704,1.0,0.0
2.304609218436874e-07,0.7991742375035863,0.20082576249641373,1.0,0.0
2.4048096192384776e-07,0.7992090370419725,0.20079096295802745,1.0,0.0
2.5050100200400806e-07,0.799377591156236,0.20062240884376403,1.0,0.0
2.6052104208416837e-07,0.7989550380378505,0.20104496196214952,1.0,0.0
2.7054108216432867e-07,0.7993949412227321,0.20060505877726784,1.0,0.0
2.8056112224448903e-07,0.7989482750218162,0.20105172497818383,1.0,0.0
2.9058116232464934e-07,0.7993986881596569,0.20060131184034313,1.0,0.0
3.0060120240480964e-07,0.798961527508574,0.20103847249142603,1.0,0.0
3.1062124248497e-07,0.7994175549411321,0.20058244505886788,1.0,0.0
3.206412825651303e-07,0.798974919729539,0.20102508027046098,1.0,0.0
