Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2),f(SIGMA)
5.302013422818792e-06,0.10518824581904218,0.8480421121483654,0.046769642032592325,0.12834064770956644,0.871659352291104,0.0
5.369127516778524e-06,0.11524795865038295,0.8386844130025402,0.04606762834707691,0.14728156328055164,0.852718436720377,0.0
5.436241610738256e-06,0.12535254275164853,0.8296446400244656,0.045002817223885876,0.16271022533173324,0.8372897746692638,0.0
5.503355704697987e-06,0.13538886505539982,0.8195506562008769,0.04506047874372329,0.18254959993581776,0.8174504000651414,0.0
5.570469798657719e-06,0.14546811322645092,0.8104897293152091,0.044042157458339955,0.19974700151541314,0.8002529984855122,0.0
5.63758389261745e-06,0.15544609606539883,0.8000543531138931,0.0444995508207081,0.2196566183306221,0.7803433816700518,0.0
5.704697986577182e-06,0.16541895045167287,0.7905569466339991,0.04402410291432806,0.2383437909161737,0.7616562090832867,0.0
5.771812080536913e-06,0.17547232994839224,0.7810222261411947,0.0435054439104131,0.25706073061276663,0.7429392693875362,0.0
5.838926174496645e-06,0.18538570165630264,0.7710321862276186,0.04358211211607874,0.27531216132533354,0.7246878386751359,0.0
5.906040268456376e-06,0.19548039381872329,0.7619891681809196,0.042530438000357114,0.2940953429640874,0.7059046570355675,0.0
5.9731543624161076e-06,0.20546744680499351,0.7524312409312008,0.04210131226380563,0.31158648498461267,0.6884135150176434,0.0
6.040268456375839e-06,0.21542537207946633,0.7426029002514304,0.04197172766910333,0.33111205166374785,0.6688879483397455,0.0
6.107382550335571e-06,0.22545883972735437,0.7334873008424727,0.04105385943017288,0.3478392585174241,0.6521607414827488,0.0
6.174496644295303e-06,0.23539866205044524,0.7235932209685468,0.04100811698100792,0.3674381901576135,0.6325618098426248,0.0
6.241610738255034e-06,0.24538380026004192,0.7144811525530103,0.04013504718694786,0.3847788120468827,0.6152211879522234,0.0
6.308724832214766e-06,0.25521950630629,0.7043241804912999,0.04045631320241012,0.404226148932614,0.5957738510667651,0.0
6.375838926174497e-06,0.2651839574128476,0.6948236601322316,0.03999238245492074,0.4236123175700158,0.5763876824301245,0.0
6.442953020134229e-06,0.27517807228751334,0.6856946597992961,0.03912726791319056,0.4403459760807951,0.5596540239189363,0.0
6.51006711409396e-06,0.2850993087109418,0.675963878646136,0.03893681264292213,0.45902386033090203,0.5409761396690985,0.0
6.577181208053692e-06,0.29504649702552577,0.6667202949612103,0.03823320801326386,0.47725083526199485,0.5227491647379345,0.0
6.644295302013423e-06,0.3049251561943166,0.6569884572724579,0.03808638653322553,0.49512122776986844,0.5048787722300984,0.0
6.7114093959731546e-06,0.31470689675885843,0.6470187922123846,0.03827431102875698,0.5142721814388187,0.485727818561357,0.0
6.778523489932886e-06,0.32475959387234354,0.6382265223696784,0.037013883757978074,0.531451170813719,0.46854882918583624,0.0
6.845637583892618e-06,0.33465574983133717,0.628375231276065,0.036969018892597835,0.5501286707665437,0.44987132923353895,0.0
6.91275167785235e-06,0.3446376444880047,0.6185614958511313,0.036800859660864,0.5698112501045886,0.4301887498947063,0.0
6.979865771812081e-06,0.35514922500518475,0.6088209393451407,0.03602983564967452,0.5900806678950063,0.40991933210499204,0.0
7.046979865771813e-06,0.36620433454839996,0.5979464231971433,0.0358492422544567,0.6105144768755355,0.3894855231249121,0.0
7.114093959731544e-06,0.37880995652307126,0.5859773905583086,0.03521265291862023,0.6327609500542059,0.367239049944538,0.0
7.181208053691276e-06,0.3941977866026759,0.5708992564126157,0.034902956984708355,0.6623997569174909,0.3376002430815448,0.0
7.248322147651007e-06,0.41427481944701294,0.551051047365478,0.034674133187509004,0.6992375399347047,0.3007624600649832,0.0
7.315436241610739e-06,0.44146300079982037,0.5253135844362271,0.03322341476395255,0.7489927895161983,0.25100721048468505,0.0
7.38255033557047e-06,0.4767447969407873,0.4913975019517149,0.03185770110749778,0.8182431160946579,0.1817568839046171,0.0
7.449664429530202e-06,0.5198457368017495,0.45039555800274117,0.029758705195509362,0.8932840503120961,0.10671594968351043,0.0
7.516778523489933e-06,0.5675727763594673,0.40413505067746136,0.02829217296307132,0.9835205636227945,0.016479436376646724,0.0
7.583892617449665e-06,0.5772735751696116,0.394616786064555,0.028109638765833323,0.9999999999999999,0.0,0.0
7.651006711409396e-06,0.5792372293655554,0.3927834083291844,0.027979362305260106,0.9999999999999999,0.0,0.0
