Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2)
0.0,0.5980077407765036,0.39977650650675184,0.0022157527167445622,0.9999999999999999,0.0
2.2271714922048998e-08,0.598644210097681,0.4000775153130623,0.0012782745892567203,0.9999999999999998,0.0
4.4543429844097996e-08,0.5979882814862585,0.399966015914263,0.002045702599478439,0.9999999999999999,0.0
6.681514476614699e-08,0.5980145987722976,0.3999008404332281,0.002084560794474271,0.9999999999999999,0.0
8.908685968819599e-08,0.5984543619219153,0.40005115306021255,0.001494485017872176,0.9999999999999998,0.0
1.11358574610245e-07,0.5984575085151143,0.400175335840252,0.0013671556446336673,0.9999999999999998,0.0
1.3363028953229398e-07,0.598094822213114,0.39983332476595246,0.0020718530209334774,0.9999999999999999,0.0
1.55902004454343e-07,0.5982238723402203,0.40006429021376466,0.0017118374460150072,0.9999999999999998,0.0
1.7817371937639199e-07,0.5983040016025745,0.4000142758873082,0.001681722510117398,0.9999999999999998,0.0
2.0044543429844097e-07,0.5980311737003996,0.39995581097249056,0.002013015327109765,0.9999999999999999,0.0
2.2271714922049e-07,0.5980590482786101,0.3999047892125905,0.002036162508799414,0.9999999999999999,0.0
2.44988864142539e-07,0.5979427874797909,0.39981745187598594,0.0022397606442231335,0.9999999999999999,0.0
2.6726057906458796e-07,0.598007377473236,0.39982759189487277,0.0021650306318913223,0.9999999999999999,0.0
2.89532293986637e-07,0.5980919339037981,0.3998757948563555,0.0020322712398464075,0.9999999999999999,0.0
3.11804008908686e-07,0.5980687107878662,0.39989767278848026,0.002033616423653593,0.9999999999999999,0.0
3.3407572383073496e-07,0.5980750277225619,0.39987947182615485,0.002045500451283246,0.9999999999999999,0.0
3.5634743875278397e-07,0.5980927394514785,0.39986269663180113,0.002044563916720444,0.9999999999999999,0.0
3.78619153674833e-07,0.5980351575380396,0.39990164550008284,0.002063196961877493,0.9999999999999999,0.0
4.0089086859688195e-07,0.5980593327394272,0.39988111203314824,0.0020595552274245946,0.9999999999999999,0.0
4.2316258351893096e-07,0.5979968187278681,0.3998778219806401,0.0021253592914918266,0.9999999999999999,0.0
4.4543429844098e-07,0.5980173492146231,0.3998627419559315,0.0021199088294453694,0.9999999999999999,0.0
4.6770601336302894e-07,0.5985542322433649,0.4000132904435378,0.0014324773130972945,0.9999999999999998,0.0
4.89977728285078e-07,0.5984053355903312,0.40017065804927837,0.0014240063603904295,0.9999999999999998,0.0
5.122494432071269e-07,0.5979891521593339,0.399943533014923,0.0020673148257430597,0.9999999999999999,0.0
5.345211581291759e-07,0.5980564500133743,0.39989884591913505,0.0020447040674906845,0.9999999999999999,0.0
5.567928730512249e-07,0.5980160658386787,0.3998736222492356,0.002110311912085651,0.9999999999999999,0.0
5.79064587973274e-07,0.5979848798370249,0.3998369247807642,0.0021781953822109868,0.9999999999999999,0.0
6.01336302895323e-07,0.598066837150728,0.39986291251930867,0.0020702503299633965,0.9999999999999999,0.0
6.23608017817372e-07,0.5980762632759357,0.39987711852521096,0.0020466181988533913,0.9999999999999999,0.0
6.458797327394209e-07,0.5979757545934974,0.3998201454858708,0.002204099920631763,0.9999999999999999,0.0
6.681514476614699e-07,0.5980274806577519,0.399861002895687,0.0021115164465611495,0.9999999999999999,0.0
6.904231625835189e-07,0.5980972093375265,0.3998930847525981,0.002009705909875338,0.9999999999999999,0.0
7.126948775055679e-07,0.5980013470184647,0.39985242641707297,0.002146226564462295,0.9999999999999999,0.0
7.34966592427617e-07,0.5980922371278807,0.39987367055130085,0.0020340923208183987,0.9999999999999999,0.0
7.57238307349666e-07,0.5980110117717483,0.39984169287319454,0.0021472953550571634,0.9999999999999999,0.0
7.79510022271715e-07,0.5980364187114751,0.3998659992316236,0.00209758205690128,0.9999999999999999,0.0
8.017817371937639e-07,0.5980142182022803,0.3998170214132983,0.002168760384421386,0.9999999999999999,0.0
8.240534521158129e-07,0.5980825632431677,0.39989388588740427,0.002023550869428133,0.9999999999999999,0.0
8.463251670378619e-07,0.5980957933532045,0.39989668044475823,0.0020075262020371803,0.9999999999999999,0.0
8.685968819599109e-07,0.5980371800854938,0.399846955078091,0.00211586483641528,0.9999999999999999,0.0
8.9086859688196e-07,0.5980729903637404,0.3998807419399225,0.002046267696337077,0.9999999999999999,0.0
9.13140311804009e-07,0.598064937934365,0.399871686557824,0.0020633755078109843,0.9999999999999999,0.0
9.354120267260579e-07,0.5980702249129783,0.3998951458832017,0.0020346292038199666,0.9999999999999999,0.0
9.57683741648107e-07,0.5980618971988478,0.3998860837970354,0.0020520190041167716,0.9999999999999999,0.0
9.79955456570156e-07,0.5979822100690833,0.39984022879460773,0.0021775611363090744,0.9999999999999999,0.0
1.0022271714922048e-06,0.5980350240975312,0.3998307508350679,0.0021342250674009572,0.9999999999999999,0.0
1.0244988864142538e-06,0.5979535345535747,0.39984765867028904,0.0021988067761363303,0.9999999999999999,0.0
1.0467706013363028e-06,0.5980414834095815,0.3998714586910137,0.002087057899404769,0.9999999999999999,0.0
1.0690423162583519e-06,0.5980539250688597,0.3999041094420652,0.0020419654890750133,0.9999999999999999,0.0
1.0913140311804009e-06,0.5980684405864273,0.3998959458652116,0.0020356135483611017,0.9999999999999999,0.0
1.1135857461024499e-06,0.5980106015920186,0.39987300645513213,0.002116391952849353,0.9999999999999999,0.0
1.135857461024499e-06,0.5980657947087533,0.3999082486971498,0.002025956594096948,0.9999999999999999,0.0
1.158129175946548e-06,0.5979709331612468,0.39984034397100127,0.0021887228677519815,0.9999999999999999,0.0
1.180400890868597e-06,0.5980285983558917,0.3998873079341057,0.0020840937100025836,0.9999999999999999,0.0
1.202672605790646e-06,0.5979930995105032,0.3998980330565799,0.002108867432916892,0.9999999999999999,0.0
1.224944320712695e-06,0.5980820516111447,0.3999142987201644,0.0020036496686908615,1.0,0.0
1.247216035634744e-06,0.5980060457098703,0.39990344391946103,0.0020905103706687234,0.9999999999999999,0.0
1.269487750556793e-06,0.5980710486195215,0.39991866948954663,0.0020102818909318275,0.9999999999999999,0.0
1.2917594654788418e-06,0.5980003959487161,0.39987875548112917,0.00212084857015474,0.9999999999999999,0.0
1.3140311804008908e-06,0.5980575634611457,0.39990933012529545,0.0020331064135588597,0.9999999999999999,0.0
1.3363028953229398e-06,0.5979714393779136,0.3998796343742696,0.0021489262478167357,0.9999999999999999,0.0
1.3585746102449888e-06,0.5982604524069637,0.400025388462859,0.0017141591301773286,0.9999999999999998,0.0
1.3808463251670379e-06,0.5979541740796953,0.399863041298763,0.0021827846215417028,0.9999999999999999,0.0
1.4031180400890869e-06,0.5980125134365728,0.3998985199537311,0.0020889666096960474,0.9999999999999999,0.0
1.4253897550111359e-06,0.5979876181176137,0.39991485924250436,0.0020975226398819258,0.9999999999999999,0.0
1.447661469933185e-06,0.5980669561943104,0.3999368400737193,0.0019962037319702945,0.9999999999999999,0.0
1.469933184855234e-06,0.5981034030787375,0.3999770707703076,0.0019195261509548024,1.0,0.0
1.492204899777283e-06,0.5979500300320582,0.3998322434467248,0.0022177265212169808,0.9999999999999999,0.0
1.514476614699332e-06,0.597809259887531,0.39982685430450454,0.0023638858079644736,0.9999999999999999,0.0
1.536748329621381e-06,0.5982324319288276,0.40007898198582675,0.0016885860853456782,0.9999999999999998,0.0
1.55902004454343e-06,0.5977681004305935,0.3997678724779025,0.0024640270915040775,0.9999999999999999,0.0
1.5812917594654788e-06,0.5979622325601877,0.39992764610014103,0.002110121339671364,0.9999999999999999,0.0
1.6035634743875278e-06,0.5982322569733675,0.400096199605963,0.0016715434206695356,0.9999999999999998,0.0
1.6258351893095768e-06,0.5978780182865973,0.39991041004379946,0.002211571669603205,0.9999999999999999,0.0
1.6481069042316258e-06,0.5981809231632466,0.40010072604012203,0.0017183507966314253,0.9999999999999998,0.0
1.6703786191536748e-06,0.5978629045995068,0.39990692924558846,0.0022301661549048064,0.9999999999999999,0.0
1.6926503340757238e-06,0.5981422382848446,0.40005700938276617,0.0018007523323892434,0.9999999999999998,0.0
1.7149220489977729e-06,0.59807442396918,0.40003110542983905,0.0018944706009809376,0.9999999999999998,0.0
1.7371937639198219e-06,0.5981031903643181,0.4000360613935463,0.0018607482421356045,0.9999999999999998,0.0
1.7594654788418709e-06,0.5978964844212721,0.3999444360713973,0.002159079507330649,0.9999999999999999,0.0
1.78173719376392e-06,0.59791984233514,0.4002399796227853,0.0018401780420747424,0.9999999999999998,0.0
1.804008908685969e-06,0.5970998532630579,0.40094841430129463,0.0019517324356474607,0.9999999999999998,0.0
1.826280623608018e-06,0.5970805257962886,0.40097631334637607,0.0019431608573353108,0.9999999999999998,0.0
1.848552338530067e-06,0.5971403643725326,0.4009962088691701,0.0018634267582972612,0.9999999999999998,0.0
1.8708240534521158e-06,0.596948675187275,0.40089362155501224,0.002157703257712691,1.0000000000000002,0.0
1.8930957683741648e-06,0.5970818187958556,0.4010300045151018,0.0018881766890425776,1.0,0.0
1.915367483296214e-06,0.5970645029316136,0.40101889895338,0.0019165981150063823,1.0,0.0
1.937639198218263e-06,0.596957252016703,0.40099385844460994,0.0020488895386870736,1.0000000000000002,0.0
1.959910913140312e-06,0.5968577925099223,0.4009126459731002,0.00222956151697753,1.0000000000000002,0.0
1.982182628062361e-06,0.5970002045611156,0.40106030566876655,0.0019394897701178364,1.0,0.0
2.0044543429844096e-06,0.5967591999947304,0.4009375700218043,0.0023032299834652797,1.0000000000000002,0.0
2.0267260579064586e-06,0.5969346081152036,0.4010511872733657,0.0020142046114306755,1.0,0.0
2.0489977728285077e-06,0.5972355086600293,0.4012458550144598,0.0015186363255109071,1.0,0.0
2.0712694877505567e-06,0.5969531745893285,0.4010658799745865,0.0019809454360850336,1.0,0.0
2.0935412026726057e-06,0.5968501083324975,0.4012060822476417,0.0019438094198608057,1.0,0.0
2.1158129175946547e-06,0.5967173507164996,0.4010702300306438,0.0022124192528565627,0.9999999999999998,0.0
2.1380846325167037e-06,0.5966487908493634,0.40129323840940395,0.0020579707412325832,1.0,0.0
2.1603563474387527e-06,0.5966323635823992,0.40142136498067077,0.0019462714369300107,0.9999999999999998,0.0
2.1826280623608017e-06,0.59632655885823,0.40173679922806466,0.0019366419137052952,1.0,0.0
2.2048997772828508e-06,0.5962501018532818,0.4018541518276895,0.0018957463190287206,1.0,0.0
2.2271714922048998e-06,0.5966966457106431,0.4021634345350451,0.0011399197543118414,1.0000000000000073,0.0
2.249443207126949e-06,0.5955434674100439,0.40162903358541296,0.002827499004543175,0.9999999999999998,0.0
2.271714922048998e-06,0.5963458981287874,0.4020157406888224,0.0016383611823902312,1.0,0.0
2.293986636971047e-06,0.5961957544143508,0.4020917308820246,0.0017125147036245294,1.0,0.0
2.316258351893096e-06,0.5962931567836018,0.4020615973882104,0.001645245828187724,1.0,0.0
2.338530066815145e-06,0.5956519417082151,0.40176290388899827,0.0025851544027866396,0.9999999999999998,0.0
2.360801781737194e-06,0.595677035623981,0.4023286727093737,0.001994291666645303,1.0,0.0
2.383073496659243e-06,0.5951480053390781,0.40310289848817077,0.0017490961727512223,0.9999999999999997,0.0
2.405345211581292e-06,0.5947103641992614,0.40296324737488637,0.0023263884258522744,0.9999999999999999,0.0
2.427616926503341e-06,0.5948694276173403,0.40317410589323116,0.0019564664894285446,0.9999999999999997,0.0
2.44988864142539e-06,0.5943187329644399,0.40376187182740353,0.0019193952081564562,0.9999999999999997,0.0
