Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2)
0.0,0.59520249008903,0.3967948649388219,0.008002644972148027,0.9999999999999998,0.0
2.2271714922048998e-08,0.5962077722322049,0.3976602734234591,0.00613195434433599,1.0,0.0
4.4543429844097996e-08,0.5952570019376957,0.3968737573445695,0.007869240717734897,0.9999999999999999,0.0
6.681514476614699e-08,0.5959768990891908,0.39746151175635186,0.006561589154457311,1.0,0.0
8.908685968819599e-08,0.5947278769375262,0.3966849083373717,0.008587214725102103,0.9999999999999998,0.0
1.11358574610245e-07,0.595783989392715,0.39731232887267687,0.006903681734608022,1.0,0.0
1.3363028953229398e-07,0.5951843422353885,0.39697144206385165,0.007844215700759827,0.9999999999999998,0.0
1.55902004454343e-07,0.5952143838889086,0.39693081565204,0.007854800459051407,0.9999999999999999,0.0
1.7817371937639199e-07,0.5962700499120658,0.3976330470143061,0.006096903073628164,1.0,0.0
2.0044543429844097e-07,0.5945640955868466,0.3967211679224442,0.008714736490709163,0.9999999999999998,0.0
2.2271714922049e-07,0.5957788313977799,0.39720919205060623,0.007011976551613814,1.0,0.0
2.44988864142539e-07,0.595343300125382,0.3972189807801011,0.007437719094516973,1.0,0.0
2.6726057906458796e-07,0.5950411970697169,0.39680894007625456,0.008149862854028527,1.0000000000000004,0.0
2.89532293986637e-07,0.5954947178639194,0.39711073509547584,0.007394547040604752,1.0,0.0
3.11804008908686e-07,0.5959810938937062,0.39744833391681406,0.006570572189479758,1.0,0.0
3.3407572383073496e-07,0.5948712259585636,0.396716523640072,0.00841225040136449,0.9999999999999999,0.0
3.5634743875278397e-07,0.5957135992166048,0.39741421750414035,0.00687218327925483,1.0,0.0
3.78619153674833e-07,0.59544933619385,0.3971122612466794,0.007438402559470531,1.0,0.0
4.0089086859688195e-07,0.5954249932620288,0.39721169969090364,0.007363307047067498,1.0,0.0
4.2316258351893096e-07,0.5955490054144794,0.3972231937140205,0.0072278008715001025,1.0,0.0
4.4543429844098e-07,0.595442232206397,0.39714415143168413,0.007413616361918916,1.0,0.0
4.6770601336302894e-07,0.5955355888461208,0.3972909619328448,0.007173449221034391,1.0,0.0
4.89977728285078e-07,0.5954801104262597,0.39724120092080667,0.007278688652933603,1.0,0.0
5.122494432071269e-07,0.5953313505458534,0.39713830482233986,0.007530344631806753,1.0,0.0
5.345211581291759e-07,0.5954887790112073,0.3972107823130712,0.007300438675721471,1.0,0.0
5.567928730512249e-07,0.5955450706847467,0.3973397134344815,0.007115215880771827,1.0,0.0
5.79064587973274e-07,0.5955065530340873,0.3972673137697654,0.0072261331961473,1.0,0.0
6.01336302895323e-07,0.5955198562685069,0.39729346649152997,0.007186677239963187,1.0,0.0
6.23608017817372e-07,0.595419825355062,0.3973258212478422,0.0072543533970957225,1.0,0.0
6.458797327394209e-07,0.595368455131225,0.3973477881038557,0.007283756764919267,1.0,0.0
6.681514476614699e-07,0.5954168054398504,0.3973080927500711,0.007275101810078429,1.0,0.0
6.904231625835189e-07,0.5952467460672202,0.3972606204648601,0.007492633467919727,1.0,0.0
7.126948775055679e-07,0.5953357652368844,0.3973408666756737,0.007323368087441936,1.0,0.0
7.34966592427617e-07,0.595425219660562,0.39732456079723866,0.0072502195421992825,1.0,0.0
7.57238307349666e-07,0.5952960221502862,0.39745091965315976,0.007253058196554038,1.0,0.0
7.79510022271715e-07,0.5954401831848563,0.3973697263366142,0.007190090478529556,1.0,0.0
8.017817371937639e-07,0.5952455817077995,0.397538828035363,0.007215590256837518,1.0,0.0
8.240534521158129e-07,0.5953227735617359,0.39734523247517833,0.007331993963085694,1.0,0.0
8.463251670378619e-07,0.5951555520549083,0.39747068610624453,0.007373761838847121,1.0,0.0
8.685968819599109e-07,0.5952347557263991,0.39743405906867274,0.0073311852049282615,1.0,0.0
8.9086859688196e-07,0.5951471353438813,0.3975152592108341,0.007337605445284684,1.0,0.0
9.13140311804009e-07,0.5952242885111798,0.39741828244556365,0.007357429043256485,1.0,0.0
9.354120267260579e-07,0.5951543226486762,0.3975189548533489,0.007326722497974904,1.0,0.0
9.57683741648107e-07,0.5951892403911854,0.39745945266532984,0.007351306943484713,1.0,0.0
9.79955456570156e-07,0.595584278131556,0.3977848294546911,0.006630892413752879,1.0,0.0
1.0022271714922048e-06,0.594403013538499,0.39712425599531964,0.00847273046618129,0.9999999999999999,0.0
1.0244988864142538e-06,0.5954748413192763,0.397776986347129,0.006748172333594742,1.0,0.0
