Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2)
0.0,0.5980826101283317,0.39989685404794645,0.002020535823721827,1.0,0.0
2.2271714922048998e-08,0.598033409412456,0.399854010777874,0.002112579809670061,1.0,0.0
4.4543429844097996e-08,0.5980916158619944,0.39988675529682055,0.002021628841184957,1.0,0.0
6.681514476614699e-08,0.5980605853753027,0.3998946555368655,0.0020447590878318656,1.0,0.0
8.908685968819599e-08,0.5979004592503616,0.3997646170918572,0.0023349236577812323,1.0,0.0
1.11358574610245e-07,0.5986003701862099,0.4002120447401558,0.0011875850736342386,0.9999999999999998,0.0
1.3363028953229398e-07,0.5980556831731201,0.3998803841890005,0.0020639326378793254,1.0,0.0
1.55902004454343e-07,0.5980425776056022,0.39985943062077245,0.0020979917736254137,1.0,0.0
1.7817371937639199e-07,0.5982374207299099,0.3999847589968066,0.0017778202732834255,0.9999999999999998,0.0
2.0044543429844097e-07,0.5977184506226629,0.39967298544314234,0.0026085639341947905,1.0,0.0
2.2271714922049e-07,0.5982896014760304,0.3999757227395162,0.0017346757844534275,0.9999999999999998,0.0
2.44988864142539e-07,0.59809993659463,0.3998587693787454,0.002041294026624567,1.0,0.0
2.6726057906458796e-07,0.597726449743388,0.3997133093846008,0.002560240872011236,1.0,0.0
2.89532293986637e-07,0.5988299108718307,0.400280856976858,0.0008892321513113387,0.9999999999999998,0.0
3.11804008908686e-07,0.5978640397579627,0.39970056614315586,0.002435394098881416,1.0000000000000002,0.0
3.3407572383073496e-07,0.5979660170682835,0.39995660449333553,0.0020773784383809734,1.0,0.0
3.5634743875278397e-07,0.598566835803437,0.40006827295294584,0.0013648912436171935,0.9999999999999998,0.0
3.78619153674833e-07,0.59840313527149,0.40005388483659604,0.0015429798919139315,0.9999999999999998,0.0
4.0089086859688195e-07,0.5983554928247548,0.4001606776474536,0.0014838295277917034,0.9999999999999998,0.0
4.2316258351893096e-07,0.5979379739531281,0.39980308318121693,0.002258942865654939,1.0000000000000002,0.0
4.4543429844098e-07,0.5978230878574384,0.39979300176263793,0.0023839103799236728,1.0,0.0
4.6770601336302894e-07,0.5982190877128564,0.4000031074215695,0.0017778048655741586,0.9999999999999998,0.0
4.89977728285078e-07,0.5980438275169099,0.39987803390913457,0.0020781385739555356,1.0,0.0
5.122494432071269e-07,0.598047625474184,0.3998814366056497,0.002070937920166398,1.0,0.0
5.345211581291759e-07,0.5980771080242029,0.3998600849662578,0.0020628070095393062,1.0,0.0
5.567928730512249e-07,0.5980159582794352,0.39986445955478445,0.002119582165780329,1.0,0.0
5.79064587973274e-07,0.598072812333965,0.3999004178738199,0.0020267697922150747,1.0,0.0
6.01336302895323e-07,0.5982743091859637,0.3999790660227723,0.0017466247912639912,0.9999999999999998,0.0
6.23608017817372e-07,0.5979461475202443,0.3998052303128316,0.002248622166924029,1.0,0.0
6.458797327394209e-07,0.5978180874385661,0.3997109387673634,0.002470973794070421,1.0000000000000002,0.0
6.681514476614699e-07,0.5981916266011813,0.3999781042292996,0.0018302691695190473,1.0,0.0
6.904231625835189e-07,0.5983032501954871,0.4000190125895251,0.001677737214987744,0.9999999999999998,0.0
7.126948775055679e-07,0.5977180308377816,0.39967718663960733,0.0026047825226110273,1.0,0.0
7.34966592427617e-07,0.5980466738563399,0.3998437481256754,0.002109578017984661,1.0,0.0
7.57238307349666e-07,0.5982229150052009,0.3999958626363234,0.0017812223584756947,0.9999999999999998,0.0
7.79510022271715e-07,0.5980819989073887,0.3999017321703587,0.002016268922252733,1.0,0.0
