Distance(m),x(NI),x(CR),f(FCC_A1),f(BCC_A2)
8.617234468937877e-07,0.7947529931334956,0.2052470068665045,1.0,0.0
8.717434869739481e-07,0.794778086951322,0.20522191304867798,1.0,0.0
8.817635270541084e-07,0.7948741579730739,0.2051258420269261,1.0,0.0
8.917835671342687e-07,0.7946776760535899,0.2053223239464101,1.0,0.0
9.01803607214429e-07,0.7946089693984284,0.20539103060157166,1.0,0.0
9.118236472945893e-07,0.7943913429898213,0.20560865701017875,1.0,0.0
9.218436873747496e-07,0.7940477002419059,0.20595229975809418,1.0,0.0
9.3186372745491e-07,0.7933623323086163,0.20663766769138367,1.0,0.0
9.418837675350703e-07,0.7932953037702738,0.20670469622972618,1.0,0.0
9.519038076152306e-07,0.793324022507759,0.20667597749224095,1.0,0.0
9.61923847695391e-07,0.7924883658763933,0.20751163412360676,1.0,0.0
9.719438877755512e-07,0.7938235132777216,0.20617648672227845,1.0,0.0
9.819639278557116e-07,0.7922340605212893,0.20776593947871072,1.0,0.0
9.919839679358718e-07,0.7926482172998854,0.2073517827001146,1.0,0.0
1.0020040080160322e-06,0.7928384230517094,0.20716157694829065,1.0,0.0
1.0120240480961924e-06,0.7917538735421543,0.20824612645784563,0.9999999999999999,0.0
1.0220440881763529e-06,0.7913565100447568,0.20864348995524323,1.0,0.0
1.0320641282565133e-06,0.7919554343759115,0.20804456562408843,0.9999999999999999,0.0
1.0420841683366735e-06,0.7906756007995199,0.20932439920048007,0.9999999999999999,0.0
1.0521042084168339e-06,0.7913573380191883,0.20864266198081172,0.9999999999999999,0.0
1.062124248496994e-06,0.7902754480997506,0.2097245519002494,0.9999999999999999,0.0
1.0721442885771545e-06,0.7905745146418048,0.20942548535819522,0.9999999999999999,0.0
1.0821643286573147e-06,0.7905074546120714,0.20949254538792866,0.9999999999999999,0.0
1.092184368737475e-06,0.790118611998869,0.209881388001131,1.0,0.0
1.1022044088176355e-06,0.7890350591884214,0.2109649408115786,1.0,0.0
1.1122244488977957e-06,0.7894291863754406,0.2105708136245594,1.0,0.0
1.1222444889779561e-06,0.7890130677935371,0.21098693220646292,1.0,0.0
1.1322645290581163e-06,0.7887548698596241,0.21124513014037594,1.0,0.0
1.1422845691382767e-06,0.7885438073530163,0.2114561926469837,1.0,0.0
1.152304609218437e-06,0.7879676760708013,0.2120323239291987,1.0,0.0
1.1623246492985973e-06,0.7881518748148597,0.21184812518514035,1.0,0.0
1.1723446893787578e-06,0.7873351968036133,0.2126648031963867,1.0,0.0
1.182364729458918e-06,0.7869286091318254,0.2130713908681746,1.0,0.0
1.1923847695390784e-06,0.7869950205946247,0.2130049794053753,1.0,0.0
1.2024048096192386e-06,0.7862328954227565,0.2137671045772435,1.0,0.0
1.212424849699399e-06,0.7853869892512555,0.21461301074874456,1.0,0.0
1.2224448897795594e-06,0.7858931273270441,0.21410687267295594,1.0,0.0
1.2324649298597196e-06,0.7844161306234865,0.21558386937651353,1.0,0.0
1.24248496993988e-06,0.7850073673003606,0.2149926326996394,1.0,0.0
1.2525050100200402e-06,0.7840026304529277,0.2159973695470723,1.0,0.0
1.2625250501002006e-06,0.7846169014312808,0.21538309856871915,0.9999999999999999,0.0
1.2725450901803608e-06,0.7831206697277232,0.21687933027227682,1.0,0.0
1.2825651302605212e-06,0.783485385700204,0.21651461429979602,1.0,0.0
1.2925851703406816e-06,0.7823635240519384,0.21763647594806163,1.0,0.0
1.3026052104208418e-06,0.7821925566226513,0.21780744337734875,1.0,0.0
1.3126252505010023e-06,0.7823463848807919,0.21765361511920808,1.0,0.0
1.3226452905811624e-06,0.7808346712522339,0.21916532874776606,1.0,0.0
1.3326653306613229e-06,0.7815957849130348,0.21840421508696514,1.0,0.0
1.342685370741483e-06,0.7800012699314298,0.21999873006857015,1.0,0.0
1.3527054108216435e-06,0.7803562789741038,0.21964372102589624,1.0,0.0
1.3627254509018039e-06,0.7793697385062937,0.22063026149370635,1.0,0.0
1.372745490981964e-06,0.778951930216147,0.22104806978385302,1.0,0.0
