Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2),f(SIGMA)
0.0,0.021999108608356743,0.07300273128852931,0.904998160103114,0.0,1.0,0.0
6.711409395973155e-08,0.021153774720642504,0.07384758758844906,0.9049986376909084,0.0,1.0,0.0
1.342281879194631e-07,0.021646830879735734,0.07611643348603532,0.9022367356342289,0.0,1.0,0.0
2.0134228187919465e-07,0.021489273958785082,0.078508130474443,0.9000025955667719,0.0,1.0,0.0
2.684563758389262e-07,0.020253727000255628,0.08278681886615054,0.8969594541335938,0.0,1.0,0.0
3.3557046979865777e-07,0.020950709584425242,0.08705035041475284,0.8919989400008219,0.0,1.0,0.0
4.026845637583893e-07,0.020516528361677944,0.09248338532667744,0.8870000863116446,0.0,1.0000000000000002,0.0
4.697986577181208e-07,0.02025229205613821,0.098747364424238,0.8810003435196238,0.0,1.0,0.0
5.369127516778524e-07,0.019915417882396147,0.1050880629353929,0.874996519182211,0.0,0.9999999999999998,0.0
6.04026845637584e-07,0.019443249909575022,0.11300024356816667,0.8675565065222584,0.0,0.9999999999999998,0.0
6.711409395973155e-07,0.019481144652547022,0.12100000064706638,0.8595188547003866,0.0,1.0,0.0
7.38255033557047e-07,0.019527543153659344,0.1294725782189907,0.8509998786273499,0.0,1.0,0.0
8.053691275167786e-07,0.018590954306780594,0.13902503199823507,0.8423840136949843,0.0,0.9999999999999998,0.0
8.724832214765102e-07,0.019531313997660393,0.14800037722270723,0.8324683087796324,0.0,1.0000000000000002,0.0
9.395973154362416e-07,0.01895536291331379,0.15904576763929837,0.8219988694473879,0.0,1.0,0.0
1.0067114093959733e-06,0.019438240723815392,0.16900033664686398,0.8115614226293206,0.0,0.9999999999999997,0.0
1.0738255033557048e-06,0.01849379531962214,0.18050577737546736,0.8010004273049105,0.0,1.0,0.0
1.1409395973154363e-06,0.018000490728606544,0.19199994918579869,0.7899995600855948,0.0,1.0,0.0
1.208053691275168e-06,0.018145252869089523,0.20385357679874377,0.7780011703321666,0.0,1.0,0.0
1.2751677852348994e-06,0.017848730286251002,0.21587697371977546,0.7662742959939736,0.0,1.0,0.0
1.342281879194631e-06,0.018000237723249213,0.22800001711699447,0.7539997451597563,0.0,0.9999999999999999,0.0
1.4093959731543626e-06,0.01756633084086401,0.2404349748745324,0.7419986942846036,0.0,0.9999999999999998,0.0
1.476510067114094e-06,0.018000017553889136,0.25300014935006043,0.7289998330960504,0.0,1.0,0.0
1.5436241610738257e-06,0.01884368674894088,0.2655153550449798,0.7156409582060793,0.0,1.0000000000000004,0.0
1.6107382550335572e-06,0.019091424411880276,0.2780001494243012,0.7029084261638185,0.0,1.0000000000000002,0.0
1.6778523489932886e-06,0.018100346027863146,0.2909999898008031,0.6908996641713337,0.0,1.0,0.0
1.7449664429530203e-06,0.018129403746591555,0.3038699855746334,0.678000610678775,0.0,0.9999999999999997,0.0
1.8120805369127518e-06,0.01867380332601576,0.31632712441170696,0.6649990722622773,0.0,1.0000000000000004,0.0
