t0,tf,steps,phases,linearTimeSpacing,elements,time,xComp,Rcrit_beta,Gcrit_beta,Rad_beta,avgR_beta,avgAR_beta,betaFrac_beta,nucRate_beta,precipitateDensity_beta,dGs_beta,xEqAlpha_beta,xEqBeta_beta,PSDdata_beta,PSDsize_beta,PSD_beta,PSDbounds_beta,eqAspectRatio_beta
0.9,900000,10000,beta,False,solute,0.9,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015592627648979669,0.25,1e-10,3.81048679778272e-10,0.0,1e-10,1.0
,,,,,,0.9012443797773451,0.002,6.075354422504945e-10,1.5460796123996644e-19,0.0,0.0,0.0,0.0,4.5518424814334126e-11,0.0,329198906.05784565,0.00015592627648979669,0.25,7.710733825924654e-08,9.431460393348162e-10,9.127217999702341e+16,6.620973595565441e-10,1.0
,,,,,,0.9024904800891682,0.002,6.073695571328527e-10,1.5452354259826033e-19,0.0,0.0,0.0,0.0,5.216954262485549e-11,0.0,329288817.04962593,0.00015592627648979669,0.25,137.0,1.5052433988913603e-09,9.118125134047746e+16,1.2241947191130883e-09,1.0
,,,,,,0.9037383033143566,0.002,6.073695571328659e-10,1.5452354259826708e-19,0.0,0.0,0.0,0.0,5.714444585300273e-11,0.0,329288817.0496187,0.00015592627648979669,0.25,,2.0673407584479044e-09,9.109022943072722e+16,1.7862920786696324e-09,1.0
,,,,,,0.904987851835086,0.002,6.073695571329263e-10,1.545235425982978e-19,0.0,0.0,0.0,0.0,6.258588592397289e-11,0.0,329288817.049586,0.00015592627648979669,0.25,,2.6294381180044486e-09,9.099929243072506e+16,2.3483894382261765e-09,1.0
,,,,,,0.9062391280368266,0.002,6.073695571328333e-10,1.545235425982505e-19,0.0,0.0,0.0,0.0,6.853686584628208e-11,0.0,329288817.0496364,0.00015592627648979669,0.25,,3.1915354775609927e-09,9.090826783266549e+16,2.9104867977827206e-09,1.0
,,,,,,0.9074921343083465,0.002,6.073695571328478e-10,1.5452354259825785e-19,0.0,0.0,0.0,0.0,7.504428251963906e-11,0.0,329288817.04962856,0.00015592627648979669,0.25,,3.753632837117537e-09,9.081733712472595e+16,3.4725841573392647e-09,1.0
,,,,,,0.9087468730417165,0.002,6.073695571328936e-10,1.5452354259828118e-19,0.0,0.0,0.0,0.0,8.21592729165458e-11,0.0,329288817.0496037,0.00015592627648979669,0.25,,4.315730196674081e-09,9.072631832645718e+16,4.034681516895809e-09,1.0
,,,,,,0.9100033466323151,0.002,6.073695571328744e-10,1.5452354259827138e-19,0.0,0.0,0.0,0.0,8.993759044008942e-11,0.0,329288817.04961413,0.00015592627648979669,0.25,,4.877827556230625e-09,9.063539437232818e+16,4.596778876452353e-09,1.0
,,,,,,0.9112615574788324,0.002,6.073695571328165e-10,1.5452354259824192e-19,0.0,0.0,0.0,0.0,9.844001405970972e-11,0.0,329288817.04964554,0.00015592627648979669,0.25,,5.439924915787169e-09,9.054438339366445e+16,5.158876236008897e-09,1.0
