Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2),f(SIGMA)
0.0,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
4.016064257028113e-08,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
8.032128514056226e-08,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.2048192771084337e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.606425702811245e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.0080321285140565e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.4096385542168674e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.811244979919679e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
3.21285140562249e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
3.6144578313253016e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
4.016064257028113e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
4.417670682730924e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
4.819277108433735e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
5.220883534136546e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
5.622489959839358e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
6.024096385542169e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
6.42570281124498e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
6.827309236947792e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
7.228915662650603e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
7.630522088353415e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
8.032128514056226e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
8.433734939759036e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
8.835341365461848e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
9.236947791164659e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
9.63855421686747e-07,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.0040160642570282e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.0441767068273092e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.0843373493975905e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.1244979919678715e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.1646586345381528e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.2048192771084338e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.244979919678715e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.285140562248996e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.3253012048192771e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.3654618473895584e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.4056224899598394e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.4457831325301207e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.4859437751004017e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.526104417670683e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.566265060240964e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.6064257028112452e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.6465863453815263e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.6867469879518073e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.7269076305220885e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.7670682730923696e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.8072289156626508e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.8473895582329318e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.887550200803213e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.927710843373494e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
1.967871485943775e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.0080321285140564e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.0481927710843377e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.0883534136546185e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.1285140562248997e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.168674698795181e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.2088353413654622e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.248995983935743e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.2891566265060243e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.3293172690763055e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.3694779116465864e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.4096385542168676e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.449799196787149e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.48995983935743e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.530120481927711e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.570281124497992e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.6104417670682734e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.6506024096385542e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.6907630522088355e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.7309236947791167e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.771084337349398e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.811244979919679e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.85140562248996e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.8915662650602413e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.931726907630522e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
2.9718875502008034e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
3.0120481927710846e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
3.052208835341366e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
3.0923694779116467e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
3.132530120481928e-06,9.999999999177334e-07,1e-06,0.999998,0.0,0.9999999999999999,0.0
3.172690763052209e-06,1.0000000200127701e-06,1e-06,0.99999799999998,0.0,0.9999999999999999,0.0
3.2128514056224904e-06,1.0000006390731286e-06,1e-06,0.9999979999993609,0.0,0.9999999999999999,0.0
3.2530120481927713e-06,1.0000169105017775e-06,1e-06,0.9999979999830895,0.0,0.9999999999999999,0.0
